 TITLE     = "Mesh"
 VARIABLES = "x"
 "y"
 ZONE T="Block            1 "
 I=  29, J=  19, K= 1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE)
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3209022477E-01
    0.3418015926E-01
    0.3626951336E-01
    0.3835799728E-01
    0.4044532172E-01
    0.4253119799E-01
    0.4461533824E-01
    0.4669745558E-01
    0.4877726420E-01
    0.5085447960E-01
    0.5292881870E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3209022477E-01
    0.3418015926E-01
    0.3626951336E-01
    0.3835799728E-01
    0.4044532172E-01
    0.4253119799E-01
    0.4461533824E-01
    0.4669745558E-01
    0.4877726420E-01
    0.5085447960E-01
    0.5292881870E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3209022477E-01
    0.3418015926E-01
    0.3626951336E-01
    0.3835799728E-01
    0.4044532172E-01
    0.4253119799E-01
    0.4461533824E-01
    0.4669745558E-01
    0.4877726420E-01
    0.5085447960E-01
    0.5292881870E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3209022477E-01
    0.3418015926E-01
    0.3626951336E-01
    0.3835799728E-01
    0.4044532172E-01
    0.4253119799E-01
    0.4461533824E-01
    0.4669745558E-01
    0.4877726420E-01
    0.5085447960E-01
    0.5292881870E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3209022477E-01
    0.3418015926E-01
    0.3626951336E-01
    0.3835799728E-01
    0.4044532172E-01
    0.4253119799E-01
    0.4461533824E-01
    0.4669745558E-01
    0.4877726420E-01
    0.5085447960E-01
    0.5292881870E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3209022477E-01
    0.3418015926E-01
    0.3626951336E-01
    0.3835799728E-01
    0.4044532172E-01
    0.4253119799E-01
    0.4461533824E-01
    0.4669745558E-01
    0.4877726420E-01
    0.5085447960E-01
    0.5292881870E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3208333333E-01
    0.3416666667E-01
    0.3625000000E-01
    0.3833333333E-01
    0.4041666667E-01
    0.4250000000E-01
    0.4458333333E-01
    0.4666666667E-01
    0.4875000000E-01
    0.5083333333E-01
    0.5291666667E-01
    0.5500000000E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3197121276E-01
    0.3394242552E-01
    0.3591363828E-01
    0.3788485105E-01
    0.3985606381E-01
    0.4182727657E-01
    0.4379848933E-01
    0.4576970209E-01
    0.4774091485E-01
    0.4971212761E-01
    0.5168334038E-01
    0.5365455314E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3187415649E-01
    0.3374831298E-01
    0.3562246946E-01
    0.3749662595E-01
    0.3937078244E-01
    0.4124493893E-01
    0.4311909542E-01
    0.4499325191E-01
    0.4686740839E-01
    0.4874156488E-01
    0.5061572137E-01
    0.5248987786E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3180009170E-01
    0.3360018340E-01
    0.3540027511E-01
    0.3720036681E-01
    0.3900045851E-01
    0.4080055021E-01
    0.4260064192E-01
    0.4440073362E-01
    0.4620082532E-01
    0.4800091702E-01
    0.4980100873E-01
    0.5160110043E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3174882806E-01
    0.3349765612E-01
    0.3524648419E-01
    0.3699531225E-01
    0.3874414031E-01
    0.4049296837E-01
    0.4224179644E-01
    0.4399062450E-01
    0.4573945256E-01
    0.4748828062E-01
    0.4923710869E-01
    0.5098593675E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
    0.2062500000E-01
    0.2250000000E-01
    0.2437500000E-01
    0.2625000000E-01
    0.2812500000E-01
    0.3000000000E-01
    0.3171569730E-01
    0.3343139459E-01
    0.3514709189E-01
    0.3686278918E-01
    0.3857848648E-01
    0.4029418378E-01
    0.4200988107E-01
    0.4372557837E-01
    0.4544127566E-01
    0.4715697296E-01
    0.4887267026E-01
    0.5058836755E-01
    0.0000000000E+00
    0.1875000000E-02
    0.3750000000E-02
    0.5625000000E-02
    0.7500000000E-02
    0.9375000000E-02
    0.1125000000E-01
    0.1312500000E-01
    0.1500000000E-01
    0.1687500000E-01
    0.1875000000E-01
